"Method","FD","Y1","Y2"
"Theoretical",1,1,0.807560825654082
"Theoretical",2,0.750932182814311,0.653780412827041
"Theoretical",3,0.667288121876207,0.602520275218027
"Theoretical",4,0.625466091407156,0.57689020641352
"Theoretical",5,0.600372873125725,0.561512165130816
"Theoretical",6,0.583644060938104,0.551260137609014
"Theoretical",7,0.571694909375517,0.543937260807726
"Theoretical",8,0.562733045703578,0.53844510320676
"Theoretical",9,0.555762707292069,0.534173425072676
"Theoretical",10,0.550186436562862,0.530756082565408
"Theoretical",11,0.545624033238966,0.527960075059462
"Theoretical",12,0.541822030469052,0.525630068804507
"Theoretical",13,0.538604951202202,0.523658525050314
"Theoretical",14,0.535847454687759,0.521968630403863
"Theoretical",15,0.533457624375241,0.520504055043605
"Theoretical",16,0.531366522851789,0.51922255160338
"Theoretical",17,0.529521433272272,0.51809181327377
"Theoretical",18,0.527881353646035,0.517086712536338
"Theoretical",19,0.526413913980454,0.516187411876531
"Theoretical",20,0.525093218281431,0.515378041282704
