"Method","FD","Y1","Y2"
"Theoretical",1,0.947334949515648,0.740077906296572
"Theoretical",2,0.723667474757824,0.620038953148286
"Theoretical",3,0.649111649838549,0.580025968765524
"Theoretical",4,0.611833737378912,0.560019476574143
"Theoretical",5,0.58946698990313,0.548015581259314
"Theoretical",6,0.574555824919275,0.540012984382762
"Theoretical",7,0.56390499278795,0.534296843756653
"Theoretical",8,0.555916868689456,0.530009738287072
"Theoretical",9,0.549703883279516,0.526675322921841
"Theoretical",10,0.544733494951565,0.524007790629657
"Theoretical",11,0.540666813592332,0.521825264208779
"Theoretical",12,0.537277912459637,0.520006492191381
"Theoretical",13,0.534410380731973,0.518467531253582
"Theoretical",14,0.531952496393975,0.517148421878327
"Theoretical",15,0.52982232996771,0.516005193753105
"Theoretical",16,0.527958434344728,0.515004869143536
"Theoretical",17,0.526313820559744,0.514122229782151
"Theoretical",18,0.524851941639758,0.513337661460921
"Theoretical",19,0.52354394471135,0.512635679278767
"Theoretical",20,0.522366747475782,0.512003895314829
